ocel_id;ocel_time;rain condition
enter_tr48_Pcp365;2024-05-08 13:12:02;No Rain
enter_tr50_Pcp482;2024-05-08 13:15:49;No Rain
enter_tr34_Pcp205;2024-05-08 13:18:27;No Rain
enter_tr2_Pcp495;2024-05-08 13:32:22;No Rain
enter_tr3_Pcp104;2024-05-08 13:47:28;No Rain
enter_tr36_Pcp367;2024-05-08 14:00:17;No Rain
enter_tr22_Pcp113;2024-05-08 14:23:19;No Rain
enter_tr47_Pcp124;2024-05-08 14:55:09;No Rain
enter_tr10_Pcp407;2024-05-10 05:49:32;No Rain
enter_tr4_Pcp428;2024-05-10 06:44:54;No Rain
enter_tr23_Pcp389;2024-05-10 06:56:22;No Rain
enter_tr26_Pcp320;2024-05-10 07:02:41;No Rain
enter_tr44_Pcp427;2024-05-10 07:07:48;No Rain
enter_tr40_Pcp1;2024-05-10 07:09:51;No Rain
enter_tr35_Pcp324;2024-05-10 07:17:39;No Rain
enter_tr30_Pcp454;2024-05-10 07:25:01;No Rain
enter_tr49_Pcp330;2024-05-10 07:25:46;No Rain
enter_tr20_Pcp171;2024-05-10 07:30:26;No Rain
enter_tr29_Pcp113;2024-05-10 07:31:57;No Rain
enter_tr21_Pcp63;2024-05-10 07:35:32;No Rain
enter_tr43_Pcp472;2024-05-10 07:37:20;No Rain
enter_tr11_Pcp479;2024-05-10 07:38:32;No Rain
enter_tr33_Pcp360;2024-05-10 07:39:09;No Rain
enter_tr46_Pcp309;2024-05-10 07:40:49;No Rain
enter_tr27_Pcp336;2024-05-10 07:45:16;No Rain
enter_tr18_Pcp207;2024-05-10 07:48:08;No Rain
enter_tr19_Pcp20;2024-05-10 07:48:23;No Rain
enter_tr39_Pcp362;2024-05-10 07:59:04;No Rain
enter_tr37_Pcp253;2024-05-10 08:03:41;Have Rain
enter_tr24_Pcp249;2024-05-10 08:04:07;Have Rain
enter_tr45_Pcp102;2024-05-10 08:04:29;Have Rain
enter_tr31_Pcp484;2024-05-10 08:04:53;Have Rain
enter_tr42_Pcp23;2024-05-10 08:05:44;Have Rain
enter_tr15_Pcp96;2024-05-10 08:06:56;Have Rain
